,card_company,region,type_of_business,amount
0,g,경기 수원시,서양식 음식점업,2428.5714285714284
1,f,경기 수원시,두발 미용업,3142.857142857143
2,e,경기 수원시,한식 음식점업,7142.857142857143
3,a,경기 수원시,의복 소매업,1428.571428571429
4,b,경기 수원시,서양식 음식점업,7857.142857142857
5,c,경기 수원시,한식 음식점업,285.7142857142857
6,e,경기 수원시,한식 음식점업,14285.714285714286
7,d,경기 수원시,한식 음식점업,7571.428571428572
8,a,경기 수원시,한식 음식점업,4142.857142857143
9,e,경기 수원시,두발 미용업,2142.8571428571427
10,g,경기 수원시,서양식 음식점업,1428.571428571429
11,a,경기 수원시,한식 음식점업,2714.285714285714
12,b,경기 수원시,서양식 음식점업,2714.285714285714
13,a,경기 수원시,서양식 음식점업,6428.571428571428
14,a,경기 수원시,한식 음식점업,2857.142857142857
15,d,경기 수원시,한식 음식점업,3285.714285714286
16,g,경기 수원시,한식 음식점업,2142.8571428571427
17,d,경기 수원시,한식 음식점업,1857.142857142857
18,a,경기 수원시,의복 소매업,7114.285714285716
19,d,경기 수원시,한식 음식점업,3142.857142857143
20,b,경기 수원시,한식 음식점업,8714.285714285714
21,a,경기 수원시,한식 음식점업,12857.142857142857
22,c,경기 수원시,의복 소매업,4257.142857142857
23,c,경기 수원시,한식 음식점업,4857.142857142857
24,b,경기 수원시,한식 음식점업,9142.857142857143
25,e,경기 수원시,의복 소매업,8971.42857142857
26,a,경기 수원시,한식 음식점업,2714.285714285714
27,a,경기 수원시,의복 소매업,3985.714285714286
28,a,경기 수원시,서양식 음식점업,2714.285714285714
29,a,경기 수원시,한식 음식점업,2000.0
30,e,경기 수원시,한식 음식점업,2571.428571428572
31,c,경기 수원시,한식 음식점업,-5571.428571428572
32,e,경기 수원시,한식 음식점업,2714.285714285714
33,c,경기 수원시,한식 음식점업,8714.285714285714
34,g,경기 수원시,서양식 음식점업,7571.428571428572
35,d,경기 수원시,서양식 음식점업,2571.428571428572
36,e,경기 수원시,의복 소매업,714.2857142857142
37,a,경기 수원시,한식 음식점업,8571.42857142857
38,e,경기 수원시,한식 음식점업,-9142.857142857143
39,c,경기 수원시,한식 음식점업,13785.714285714286
40,f,경기 수원시,서양식 음식점업,18000.0
41,e,경기 수원시,한식 음식점업,4571.428571428572
42,a,경기 수원시,서양식 음식점업,714.2857142857142
43,a,경기 수원시,의복 소매업,3971.428571428572
44,b,경기 수원시,서양식 음식점업,5142.857142857143
45,a,경기 수원시,두발 미용업,5000.0
46,b,경기 수원시,서양식 음식점업,4000.0
47,b,경기 수원시,서양식 음식점업,1000.0
48,f,경기 수원시,한식 음식점업,2714.285714285714
49,g,경기 수원시,서양식 음식점업,1714.2857142857142
50,e,경기 수원시,한식 음식점업,8142.857142857143
51,b,경기 수원시,서양식 음식점업,714.2857142857142
52,b,경기 수원시,의복 소매업,16285.714285714286
53,a,경기 수원시,한식 음식점업,3857.142857142857
54,b,경기 수원시,한식 음식점업,14142.857142857143
55,f,경기 수원시,한식 음식점업,8571.42857142857
56,c,경기 수원시,서양식 음식점업,11857.142857142857
57,d,경기 수원시,한식 음식점업,2285.714285714286
58,d,경기 수원시,서양식 음식점업,7571.428571428572
59,c,경기 수원시,의복 소매업,5400.0
60,a,경기 수원시,서양식 음식점업,1000.0
61,b,경기 수원시,한식 음식점업,2571.428571428572
62,d,경기 수원시,의복 소매업,15800.0
63,b,경기 수원시,한식 음식점업,4428.571428571428
64,e,경기 수원시,한식 음식점업,4000.0
65,a,경기 수원시,한식 음식점업,2000.0
66,e,경기 수원시,한식 음식점업,19857.14285714286
67,b,경기 수원시,한식 음식점업,6714.285714285716
68,a,경기 수원시,의복 소매업,10971.42857142857
69,e,경기 수원시,서양식 음식점업,2285.714285714286
70,e,경기 수원시,한식 음식점업,7428.571428571428
71,a,경기 수원시,한식 음식점업,5714.285714285716
72,b,경기 수원시,의복 소매업,33328.57142857143
73,e,경기 수원시,의복 소매업,17800.0
74,f,경기 수원시,서양식 음식점업,1857.142857142857
75,b,경기 수원시,한식 음식점업,4714.285714285715
76,a,경기 수원시,의복 소매업,9400.0
77,b,경기 수원시,서양식 음식점업,1714.2857142857142
78,a,경기 수원시,서양식 음식점업,2071.428571428572
79,a,경기 수원시,서양식 음식점업,714.2857142857142
80,g,경기 수원시,한식 음식점업,142.85714285714286
81,d,경기 수원시,한식 음식점업,2714.285714285714
82,g,경기 수원시,서양식 음식점업,4428.571428571428
83,a,경기 수원시,한식 음식점업,4428.571428571428
84,h,경기 수원시,의복 소매업,6400.0
85,c,경기 수원시,한식 음식점업,6000.0
86,d,경기 수원시,서양식 음식점업,1642.857142857143
87,h,경기 수원시,한식 음식점업,3285.714285714286
88,d,경기 수원시,한식 음식점업,21571.428571428565
89,e,경기 수원시,한식 음식점업,15142.857142857143
90,b,경기 수원시,한식 음식점업,2714.285714285714
91,a,경기 수원시,한식 음식점업,1857.142857142857
92,c,경기 수원시,의복 소매업,4971.428571428572
93,g,경기 수원시,한식 음식점업,22857.142857142862
94,d,경기 수원시,의복 소매업,15428.571428571431
95,a,경기 수원시,서양식 음식점업,9714.285714285714
96,c,경기 수원시,한식 음식점업,2571.428571428572
97,b,경기 수원시,서양식 음식점업,7000.0
98,h,경기 수원시,한식 음식점업,-3714.285714285714
99,a,경기 수원시,한식 음식점업,2857.142857142857
100,b,경기 수원시,한식 음식점업,17857.14285714286
101,g,경기 수원시,한식 음식점업,1857.142857142857
102,a,경기 수원시,한식 음식점업,2000.0
103,c,경기 수원시,한식 음식점업,4000.0
104,a,경기 수원시,서양식 음식점업,3642.857142857143
105,a,경기 수원시,서양식 음식점업,8714.285714285714
106,b,경기 수원시,의복 소매업,20200.0
107,c,경기 수원시,한식 음식점업,10571.42857142857
108,h,경기 수원시,한식 음식점업,2714.285714285714
109,b,경기 수원시,의복 소매업,5257.142857142857
110,d,경기 수원시,한식 음식점업,12285.714285714286
111,g,경기 수원시,서양식 음식점업,4285.714285714285
112,a,경기 수원시,의복 소매업,37671.42857142857
113,b,경기 수원시,한식 음식점업,2714.285714285714
114,f,경기 수원시,의복 소매업,8542.857142857143
115,d,경기 수원시,한식 음식점업,6857.142857142857
116,d,경기 수원시,서양식 음식점업,2214.285714285714
117,b,경기 수원시,한식 음식점업,4142.857142857143
118,c,경기 수원시,한식 음식점업,9785.714285714286
119,d,경기 수원시,한식 음식점업,2000.0
120,a,경기 수원시,의복 소매업,3971.428571428572
121,b,경기 수원시,한식 음식점업,2714.285714285714
122,a,경기 수원시,서양식 음식점업,500.0
123,e,경기 수원시,한식 음식점업,2000.0
124,b,경기 수원시,의복 소매업,9685.714285714286
125,a,경기 수원시,한식 음식점업,2428.5714285714284
126,h,경기 수원시,한식 음식점업,5000.0
127,c,경기 수원시,한식 음식점업,4428.571428571428
128,e,경기 수원시,한식 음식점업,2285.714285714286
129,a,경기 수원시,한식 음식점업,2571.428571428572
130,b,경기 수원시,서양식 음식점업,2285.714285714286
131,e,경기 수원시,한식 음식점업,2714.285714285714
132,d,경기 수원시,의복 소매업,4542.857142857143
133,b,경기 수원시,서양식 음식점업,3428.5714285714284
134,a,경기 수원시,한식 음식점업,17142.85714285714
135,a,경기 수원시,한식 음식점업,4000.0
136,d,경기 수원시,서양식 음식점업,7428.571428571428
137,b,경기 수원시,서양식 음식점업,3857.142857142857
138,b,경기 수원시,한식 음식점업,2000.0
139,b,경기 수원시,서양식 음식점업,1714.2857142857142
140,c,경기 수원시,한식 음식점업,2571.428571428572
141,b,경기 수원시,한식 음식점업,31285.714285714286
142,e,경기 수원시,두발 미용업,1857.142857142857
143,f,경기 수원시,한식 음식점업,4285.714285714285
144,a,경기 수원시,한식 음식점업,2571.428571428572
145,f,경기 수원시,한식 음식점업,2571.428571428572
146,f,경기 수원시,서양식 음식점업,5142.857142857143
147,d,경기 수원시,의복 소매업,49985.71428571428
148,b,경기 수원시,서양식 음식점업,5428.571428571428
149,c,경기 수원시,한식 음식점업,16428.571428571428
150,b,경기 수원시,서양식 음식점업,4857.142857142857
151,a,경기 수원시,두발 미용업,2142.8571428571427
152,e,경기 수원시,한식 음식점업,4000.0
153,b,경기 수원시,의복 소매업,16571.428571428572
154,a,경기 수원시,한식 음식점업,4142.857142857143
155,a,경기 수원시,의복 소매업,5542.857142857143
156,a,경기 수원시,서양식 음식점업,10285.714285714286
157,c,경기 수원시,한식 음식점업,9285.714285714286
158,a,경기 수원시,한식 음식점업,4000.0
159,e,경기 수원시,의복 소매업,8971.42857142857
160,c,경기 수원시,한식 음식점업,2571.428571428572
161,b,경기 수원시,서양식 음식점업,3000.0
162,a,경기 수원시,서양식 음식점업,6142.857142857143
163,e,경기 수원시,한식 음식점업,7428.571428571428
164,b,경기 수원시,한식 음식점업,8285.714285714286
165,a,경기 수원시,의복 소매업,7971.428571428572
166,g,경기 수원시,한식 음식점업,13714.285714285714
167,a,경기 수원시,한식 음식점업,2571.428571428572
